iter	Passed	Remaining
0	148	148141
1	150	75102
2	152	50621
3	153	38261
4	154	30816
5	156	25933
6	159	22574
7	160	19872
8	161	17766
9	162	16101
10	167	15030
11	168	13873
12	170	12946
13	171	12099
14	173	11360
15	174	10707
16	175	10159
17	179	9805
18	181	9377
19	183	8967
20	184	8591
21	185	8247
22	186	7929
23	187	7638
24	189	7371
25	190	7121
26	197	7134
27	200	6953
28	201	6745
29	202	6553
30	204	6384
31	205	6211
32	206	6054
33	211	6010
34	214	5901
35	215	5766
36	216	5631
37	217	5507
38	218	5385
39	219	5272
40	220	5168
41	222	5074
42	230	5128
43	231	5031
44	232	4939
45	233	4850
46	235	4765
47	236	4682
48	240	4661
49	241	4586
50	243	4530
51	246	4484
52	247	4416
53	248	4349
54	249	4284
55	250	4221
56	253	4188
57	254	4134
58	259	4140
59	260	4085
60	261	4031
61	262	3978
62	264	3927
63	265	3879
64	266	3831
65	267	3791
66	268	3744
67	270	3712
68	276	3735
69	277	3693
70	279	3654
71	280	3615
72	283	3594
73	284	3556
74	285	3516
75	286	3489
76	288	3453
77	289	3423
78	290	3391
79	292	3364
80	293	3333
81	294	3300
82	295	3262
83	296	3230
84	297	3199
85	298	3170
86	304	3192
87	305	3163
88	306	3135
89	307	3109
90	309	3090
91	310	3065
92	311	3038
93	312	3013
94	313	2989
95	319	3011
96	320	2987
97	322	2970
98	324	2950
99	325	2926
100	326	2902
101	327	2880
102	328	2859
103	330	2845
104	338	2888
105	340	2868
106	341	2847
107	342	2827
108	343	2808
109	344	2787
110	345	2767
111	354	2814
112	356	2798
113	357	2778
114	358	2761
115	360	2744
116	361	2724
117	362	2707
118	363	2690
119	365	2678
120	366	2663
121	367	2645
122	369	2631
123	370	2615
124	378	2646
125	380	2636
126	381	2620
127	382	2607
128	384	2594
129	393	2632
130	394	2619
131	396	2604
132	397	2589
133	398	2574
134	399	2560
135	400	2546
136	401	2532
137	411	2568
138	412	2554
139	413	2539
140	414	2526
141	415	2510
142	416	2495
143	417	2483
144	424	2500
145	425	2487
146	426	2474
147	427	2459
148	428	2446
149	429	2432
150	430	2418
151	431	2407
152	432	2395
153	443	2436
154	444	2424
155	445	2412
156	446	2400
157	448	2388
158	449	2377
159	452	2373
160	453	2362
161	457	2364
162	458	2352
163	459	2340
164	460	2330
165	461	2318
166	462	2307
167	463	2297
168	465	2288
169	466	2277
170	467	2267
171	468	2257
172	472	2258
173	473	2249
174	474	2239
175	476	2231
176	477	2221
177	480	2218
178	481	2208
179	483	2200
180	491	2222
181	492	2212
182	493	2202
183	495	2197
184	496	2188
185	497	2178
186	498	2169
187	507	2191
188	508	2183
189	512	2184
190	513	2175
191	526	2217
192	528	2209
193	530	2203
194	531	2194
195	532	2185
196	535	2182
197	539	2186
198	541	2178
199	542	2169
200	543	2161
201	556	2197
202	557	2187
203	558	2178
204	559	2170
205	560	2161
206	562	2154
207	565	2154
208	569	2155
209	571	2148
210	579	2168
211	581	2161
212	582	2153
213	594	2183
214	596	2176
215	597	2168
216	598	2159
217	599	2151
218	600	2143
219	604	2142
220	608	2143
221	609	2137
222	611	2130
223	612	2122
224	613	2114
225	615	2107
226	617	2101
227	618	2094
228	619	2087
229	620	2078
230	621	2070
231	623	2062
232	624	2054
233	631	2066
234	633	2061
235	634	2055
236	636	2047
237	637	2039
238	638	2031
239	639	2024
240	648	2041
241	649	2034
242	650	2027
243	651	2019
244	653	2012
245	654	2006
246	663	2022
247	664	2015
248	665	2008
249	667	2001
250	668	1994
251	669	1987
252	671	1982
253	677	1990
254	678	1983
255	680	1976
256	681	1970
257	682	1963
258	684	1957
259	693	1974
260	695	1968
261	697	1963
262	698	1956
263	699	1949
264	700	1942
265	711	1963
266	712	1956
267	713	1949
268	715	1943
269	716	1936
270	717	1929
271	727	1947
272	730	1944
273	732	1941
274	733	1934
275	740	1943
276	742	1937
277	743	1930
